_c0,signal_std,signal_rad,pluie
2022-12-07T22:51:00.000+01:00,-20.01392,-31.160227,0
2022-12-07T22:52:00.000+01:00,-20.002556,-31.150284,0
2022-12-07T22:53:00.000+01:00,-20.088493,-31.155256,0
2022-12-07T22:54:00.000+01:00,-20.121164,-31.144604,0
2022-12-07T22:55:00.000+01:00,-19.986221,-31.13679,0
2022-12-07T22:56:00.000+01:00,-19.929405,-31.150993,0
2022-12-07T22:57:00.000+01:00,-20.005398,-31.148153,0
2022-12-07T22:58:00.000+01:00,-19.996164,-31.14034,0
2022-12-07T22:59:00.000+01:00,-19.971306,-31.154545,0
2022-12-07T23:00:00.000+01:00,-19.996876,-31.136078,0
2022-12-07T23:01:00.000+01:00,-20.033806,-31.148865,0
2022-12-07T23:02:00.000+01:00,-19.989063,-31.14034,0
2022-12-07T23:03:00.000+01:00,-19.94645,-31.145313,0
2022-12-07T23:04:00.000+01:00,-19.969177,-31.150993,0
2022-12-07T23:05:00.000+01:00,-19.984802,-31.150284,0
2022-12-07T23:06:00.000+01:00,-19.991903,-31.13892,0
2022-12-07T23:07:00.000+01:00,-19.992613,-31.149574,0
2022-12-07T23:08:00.000+01:00,-20.014631,-31.144604,0
2022-12-07T23:09:00.000+01:00,-19.927273,-31.14318,0
2022-12-07T23:10:00.000+01:00,-20.016052,-31.13608,0
2022-12-07T23:11:00.000+01:00,-19.997585,-31.13892,0
2022-12-07T23:12:00.000+01:00,-19.907387,-31.13537,0
2022-12-07T23:13:00.000+01:00,-19.988354,-31.132528,0
2022-12-07T23:14:00.000+01:00,-19.970596,-31.146732,0
2022-12-07T23:15:00.000+01:00,-19.98409,-31.13821,0
2022-12-07T23:16:00.000+01:00,-19.967754,-31.126137,0
2022-12-07T23:17:00.000+01:00,-20.0402,-31.131107,0
2022-12-07T23:18:00.000+01:00,-20.003977,-31.127556,0
2022-12-07T23:19:00.000+01:00,-19.996876,-31.126846,0
2022-12-07T23:20:00.000+01:00,-19.962784,-31.13395,0
2022-12-07T23:21:00.000+01:00,-19.959942,-31.121876,0
2022-12-07T23:22:00.000+01:00,-19.957813,-31.128977,0
2022-12-07T23:23:00.000+01:00,-19.996166,-31.126137,0
2022-12-07T23:24:00.000+01:00,-19.9777,-31.128267,0
2022-12-07T23:25:00.000+01:00,-19.95,-31.126846,0
