pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-23.993324,,-31.019958,,2022-10-19T12:16:00.000+02:00,2022-10-19T12:17:00.000+02:00
0,-22.288069,,-28.486221,,2022-06-04T01:57:00.000+02:00,2022-06-04T01:58:00.000+02:00
0,-23.32571,,-30.257883,,2022-11-24T06:23:00.000+01:00,2022-11-24T06:24:00.000+01:00
0,-23.251846,,-30.654545,,2022-11-30T21:37:00.000+01:00,2022-11-30T21:38:00.000+01:00
0,-23.960299,,-31.139275,,2022-12-01T10:06:00.000+01:00,2022-12-01T10:07:00.000+01:00
0,-22.4951,,-29.421236,,2022-05-26T19:58:00.000+02:00,2022-05-26T19:59:00.000+02:00
0,-22.660938,,-29.65277,,2022-07-09T04:56:00.000+02:00,2022-07-09T04:57:00.000+02:00
0,-22.339205,,-29.360157,,2022-08-19T10:28:00.000+02:00,2022-08-19T10:29:00.000+02:00
0,-22.189701,,-29.152414,,2022-08-20T07:30:00.000+02:00,2022-08-20T07:31:00.000+02:00
0,-22.384304,,-29.537712,,2022-07-13T21:33:00.000+02:00,2022-07-13T21:34:00.000+02:00
0,-23.37507,,-30.508238,,2022-11-28T17:49:00.000+01:00,2022-11-28T17:50:00.000+01:00
0,-22.65632,,-29.79446,,2022-12-10T13:24:00.000+01:00,2022-12-10T13:25:00.000+01:00
0,-22.437927,,-29.441832,,2022-08-29T13:30:00.000+02:00,2022-08-29T13:31:00.000+02:00
0,-22.49865,,-29.4674,,2022-06-20T15:15:00.000+02:00,2022-06-20T15:16:00.000+02:00
0,-22.152771,,-29.23054,,2022-07-29T00:36:00.000+02:00,2022-07-29T00:37:00.000+02:00
0,,,,,2022-10-13T03:52:00.000+02:00,2022-10-13T03:53:00.000+02:00
0,-22.342045,,-29.405966,,2022-05-18T20:51:00.000+02:00,2022-05-18T20:52:00.000+02:00
0,-23.217754,,-30.46243,,2022-11-25T13:30:00.000+01:00,2022-11-25T13:31:00.000+01:00
0,-23.345596,,-30.474857,,2022-10-16T17:12:00.000+02:00,2022-10-16T17:13:00.000+02:00
0,-22.304049,,-29.507174,,2022-08-09T10:21:00.000+02:00,2022-08-09T10:22:00.000+02:00
0,-22.219177,,-29.227345,,2022-09-07T02:59:00.000+02:00,2022-09-07T03:00:00.000+02:00
0,-22.251846,,-29.483381,,2022-08-07T19:24:00.000+02:00,2022-08-07T19:25:00.000+02:00
0,-22.310795,,-29.469177,,2022-11-16T19:52:00.000+01:00,2022-11-16T19:53:00.000+01:00
0,-22.306534,,-29.100924,,2022-12-12T06:12:00.000+01:00,2022-12-12T06:13:00.000+01:00
0,-23.750072,,-30.432955,,2022-12-05T05:24:00.000+01:00,2022-12-05T05:25:00.000+01:00
0,-22.447514,,-29.574291,,2022-07-12T16:56:00.000+02:00,2022-07-12T16:57:00.000+02:00
0,-22.652414,,-29.567898,,2022-09-19T22:00:00.000+02:00,2022-09-19T22:01:00.000+02:00
0,-23.686506,,-31.06044,,2022-11-23T14:12:00.000+01:00,2022-11-23T14:13:00.000+01:00
0,-23.882528,,-30.90135,,2022-10-16T13:16:00.000+02:00,2022-10-16T13:17:00.000+02:00
0,-20.80831,,-29.094887,,2022-12-14T15:50:00.000+01:00,2022-12-14T15:51:00.000+01:00
0,-22.236221,,-29.424788,,2022-07-11T05:02:00.000+02:00,2022-07-11T05:03:00.000+02:00
